scenario,arm,metric,n,n_missing,mean,sd,median,q1,q3,ci_lo,ci_hi
S3,A1,nri,54,0,0.9376526795674323,0.0008666183878487001,0.9375601464991301,0.9371722010552972,0.9380385707682685,0.9374296644970056,0.937888763304067
S3,A1,fp_rate_holdout,54,0,0.012569444444444407,0.002300405009459682,0.01229166666666665,0.010937499999999975,0.013958333333333274,0.011959876543209836,0.013186728395061686
S3,A1,blast_recall,54,0,0.4444444444444444,0.11762855940383433,0.5,0.5,0.5,0.4111111111111111,0.4722222222222222
S3,A1,whatif_abs_err,0,54,,,,,,,
S3,A1,orchestrator_cpu_s,54,0,6.5021666666747e-05,6.865128263493553e-06,6.390899999964006e-05,6.029950000008278e-05,6.754700000088931e-05,6.324440000016916e-05,6.689454629650317e-05
S3,A1,availability_below_amin,54,0,0.08363425925925921,0.0012016777957538443,0.08375,0.0829166666666666,0.08447916666666663,0.08331790123456786,0.08394290123456788
S3,A1,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3,A1,detected,54,0,1.0,,,,,0.9335864119091037,1.0
S3,A1,contained,54,0,1.0,,,,,0.9335864119091037,1.0
S3,A1,recovered,54,0,1.0,,,,,0.9335864119091037,1.0
S3,A1,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S3,A1,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S3,A1,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S3,A1,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S3,A1,censored_restore,54,0,0.0,,,,,0.0,0.0664135880908964
S3,A2,detection_latency,54,0,5.296296296296297,1.0210913441967722,5.5,4.625,6.0,5.018518518518518,5.564814814814815
S3,A2,containment_latency,54,0,22.297296296296274,1.021091344196772,22.500999999999976,21.625999999999976,23.000999999999976,22.019518518518495,22.56581481481479
S3,A2,t_service_restore,54,0,105.37962962962963,2.821640071027181,105.5,103.0,107.0,104.66666666666667,106.13888888888889
S3,A2,nri,54,0,0.937817130438505,0.0009166610759550784,0.9377174524511769,0.9372946848982359,0.9382755799241154,0.9375800148410324,0.9380602360283468
S3,A2,fp_rate_holdout,54,0,0.018526234567901194,0.0025859351917743613,0.01875,0.01635416666666665,0.0204166666666666,0.017831790123456755,0.019212962962962914
S3,A2,blast_recall,54,0,0.4444444444444444,0.11762855940383433,0.5,0.5,0.5,0.4111111111111111,0.4722222222222222
S3,A2,whatif_abs_err,0,54,,,,,,,
S3,A2,orchestrator_cpu_s,54,0,7.645916666644339e-05,1.33546120853565e-05,7.184300000062649e-05,6.894349999986282e-05,7.652099999955198e-05,7.318831296274938e-05,8.014653518494774e-05
